time,lambda_main,queue_lambdas.Q1,queue_lambdas.Q2,queue_lambdas.Q3,delays.Q1,delays.Q2,delays.Q3
1,0.1,0.1,0.1,0.1,12.186387043778229,2.761446236130964,3.9091186374317703
2,0.09950369682396903,0.09950369682396903,0.09950369682396903,0.09950369682396903,12.113125135696514,2.7576668136734344,3.901549210614438
3,0.1139659295391009,0.1139659295391009,0.1139659295391009,0.1139659295391009,14.68583056235894,2.872216611759306,4.134859101118473
4,0.10266820333131679,0.10266820333131679,0.10266820333131679,0.10266820333131679,12.595954043625065,2.781943876939997,3.9503217709216205
5,0.11138960601375456,0.11138960601375456,0.11138960601375456,0.11138960601375456,14.15044220305325,2.8511190175029304,4.091275824859945
6,0.11085250605782326,0.11085250605782326,0.11085250605782326,0.11085250605782326,14.043707193189885,2.846759672222012,4.082305269020164
7,0.11170066638146026,0.11170066638146026,0.11170066638146026,0.11170066638146026,14.213002749417312,2.8536498343023307,4.096489155266514
8,0.09814939574595373,0.09814939574595373,0.09814939574595373,0.09814939574595373,11.917618763766026,2.7474060457123515,3.8810422788150407
9,0.10793167569787332,0.10793167569787332,0.10793167569787332,0.10793167569787332,13.49034295283513,2.823284339401237,4.034202562527987
10,0.12200262091604148,0.12200262091604148,0.12200262091604148,0.12200262091604148,16.651082723983205,2.9400828935209806,4.276985849268398
11,0.1479465581161953,0.1479465581161953,0.1479465581161953,0.1479465581161953,29.315010083821253,3.182863186240902,4.8108012690276265
12,0.1395490000565047,0.1395490000565047,0.1395490000565047,0.1395490000565047,23.52400093458565,3.1000053794107334,4.623996512658061
13,0.13852140871204657,0.13852140871204657,0.13852140871204657,0.13852140871204657,22.968775355590246,3.09016155021669,4.602129133463871
14,0.13205062659237135,0.13205062659237135,0.13205062659237135,0.13205062659237135,19.99674092155477,3.0295827345755213,4.469043802580933
15,0.12791227353343318,0.12791227353343318,0.12791227353343318,0.12791227353343318,18.46841368381908,2.9920697115017596,4.387892016649917
16,0.14063277803619006,0.14063277803619006,0.14063277803619006,0.14063277803619006,24.139430753931304,3.1104556318387435,4.64728585405949
